"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1910","Joe Lake","Browns","4.86","2.65","1.83","0.07","","","",".248","1.22",".288","64.4%","90","88","","2.20","2.23","-0.02","","","1007262"
"1908","Vic Willis","Pirates","2.87","2.04","1.41","0.06","","","",".218","1.01",".237","70.4%","88","91","","2.07","2.23","-0.16","","","1014042"
"1909","Frank Arellanes","Red Sox","3.20","1.68","1.91","0.12","","","",".228","1.02",".250","67.9%","88","95","","2.18","2.23","-0.05","","","1000297"
"1998","Kevin Brown","Padres","9.00","1.72","5.24","0.28","24.9%","4.8%","20.2%",".231","1.07",".306","75.9%","60","53","","2.38","2.23","0.15","","","642"
"1880","Larry Corcoran","White Stockings","4.50","1.66","2.71","0.10","","","",".211","0.94",".242","57.6%","80","91","","1.95","2.23","-0.29","","","1002618"
"1907","Deacon Phillippe","Pirates","2.57","1.51","1.69","0.08","","","",".262","1.17",".281","65.4%","106","87","","2.61","2.23","0.37","","","1010287"
"1972","Don Sutton","Dodgers","6.83","2.08","3.29","0.43","19.5%","5.9%","13.6%",".187","0.91",".224","74.5%","64","73","","2.08","2.24","-0.16","","","1012745"
"1915","Reb Russell","White Sox","3.53","1.84","1.91","0.00","","","",".250","1.14",".279","66.4%","90","80","","2.59","2.24","0.35","","","1011321"
"1907","Nap Rucker","Superbas","4.28","2.62","1.64","0.10","","","",".238","1.17",".270","72.4%","87","91","","2.06","2.24","-0.18","","","1011281"
"2002","Pedro Martinez","Red Sox","10.79","1.81","5.98","0.59","30.4%","5.1%","25.3%",".197","0.92",".273","75.8%","50","54","61","2.26","2.24","0.02","2.61","2.43","200"
"1880","Lee Richmond","Ruby Legs","3.70","1.13","3.28","0.11","","","",".245","1.04",".273","55.7%","85","88","","2.15","2.24","-0.09","","","1010928"
"1917","Dick Rudolph","Braves","3.56","2.00","1.78","0.04","9.5%","5.3%","4.2%",".264","1.26",".293","66.8%","131","91","","3.41","2.24","1.17","","","1011284"
"1907","Cy Falkenberg","Senators","4.16","2.97","1.40","0.00","","","",".228","1.16",".261","62.5%","95","102","","2.35","2.24","0.11","","","1003913"
"1906","Al Orth","Highlanders","3.53","1.75","2.02","0.05","","","",".249","1.13",".277","70.6%","81","81","","2.34","2.24","0.10","","","1009857"
"1914","Ben Tincup","Phillies","6.27","3.60","1.74","0.00","","","",".274","1.46",".334","69.3%","92","75","","2.61","2.24","0.37","","","1013073"
"1910","Louis Drucke","Giants","6.31","3.43","1.84","0.13","","","",".223","1.19",".273","73.8%","81","81","","2.47","2.24","0.22","","","1003512"
"1904","Noodles Hahn","Reds","2.96","1.06","2.80","0.09","","","",".235","0.98",".256","66.9%","69","75","","2.06","2.24","-0.19","","","1005205"
"1917","Dutch Leonard","Red Sox","4.40","2.20","2.00","0.12","12.3%","6.2%","6.2%",".235","1.12",".268","74.3%","86","84","","2.17","2.24","-0.07","","","1007532"
"1968","Mike Cuellar","Astros","7.01","2.37","2.96","0.42","19.0%","6.4%","12.6%",".232","1.15",".281","73.9%","94","82","","2.74","2.24","0.50","","","1002853"
"1914","Claude Hendrix","Chi-Feds","4.70","1.91","2.45","0.15","","","",".204","0.94",".235","75.4%","56","85","","1.69","2.25","-0.55","","","1005638"
"1875","Joe Blong","Red Stockings","0.77","0.14","5.50","0.00","","","",".317","1.33",".324","29.2%","140","94","","3.35","2.25","1.10","","","1001083"
"1907","Ed Reulbach","Cubs","4.50","3.00","1.50","0.05","","","",".214","1.10",".247","78.7%","68","90","","1.69","2.25","-0.56","","","1010850"
"1918","Hippo Vaughn","Cubs","4.59","2.36","1.95","0.12","12.9%","6.6%","6.3%",".203","1.01",".233","76.4%","61","81","","1.74","2.25","-0.51","","","1013384"
"1915","Bert Gallia","Senators","4.51","2.22","2.03","0.07","","","",".231","1.09",".266","69.4%","79","78","","2.29","2.25","0.04","","","1004460"
"1904","Harry Howell","Browns","3.66","1.80","2.03","0.03","","","",".231","1.05",".259","70.0%","88","98","","2.19","2.25","-0.06","","","1006097"
"1968","Sam McDowell","Indians","9.47","3.68","2.57","0.43","25.8%","10.0%","15.8%",".185","1.08",".246","78.9%","60","69","","1.81","2.25","-0.44","","","1008476"
"1997","Roger Clemens","Blue Jays","9.95","2.32","4.29","0.31","28.0%","6.5%","21.5%",".212","1.03",".294","80.7%","45","50","","2.05","2.25","-0.20","","","815"
"1910","Willie Mitchell","Naps","5.00","2.70","1.85","0.10","","","",".230","1.14",".269","66.6%","101","94","","2.60","2.25","0.35","","","1009011"
"1909","Jim Scott","White Sox","4.85","3.34","1.45","0.00","","","",".216","1.15",".254","71.6%","99","108","","2.30","2.25","0.05","","","1011684"
